Time (s), Throughput (bps), Average RTT (s), Packet Loss (packets)
0.1, 4480, 0.0503248, 0
0.2, 322240, 0.0578369, 0
0.3, 585280, 0.0567946, 0
0.4, 884160, 0.0602671, 0
0.5, 1.17248e+06, 0.0613131, 0
0.6, 2.09632e+06, 0.0747196, 0
0.7, 2.14016e+06, 0.0851472, 0
0.8, 2.10464e+06, 0.118881, 1
0.9, 2.1088e+06, 0.151056, 1
1, 2.14016e+06, 0.184862, 2
1.1, 2.22912e+06, 0.18551, 2
1.2, 2.35136e+06, 0.200219, 2
1.3, 2.35872e+06, 0.224497, 4
1.4, 2.39616e+06, 0.236689, 3
1.5, 2.35872e+06, 0.204642, 4
1.6, 2.39616e+06, 0.163424, 5
1.7, 2.35872e+06, 0.162203, 5
1.8, 2.35872e+06, 0.160514, 6
1.9, 2.39616e+06, 0.156812, 6
2, 2.35872e+06, 0.153798, 7
2.1, 2.39616e+06, 0.150533, 5
2.2, 2.35872e+06, 0.147206, 0
2.3, 1.64352e+06, 0.122119, 0
2.4, 769920, 0.0646119, 0
2.5, 2.1936e+06, 0.105958, 3
2.6, 2.10464e+06, 0.176217, 7
2.7, 2.1088e+06, 0.240735, 9
2.8, 2.33088e+06, 0.25349, 8
2.9, 2.35872e+06, 0.294026, 9
3, 2.39616e+06, 0.344064, 10
3.1, 2.35872e+06, 0.394102, 10
3.2, 2.39616e+06, 0.394883, 10
3.3, 2.35872e+06, 0.384136, 11
3.4, 2.39616e+06, 0.3788, 12
3.5, 2.35872e+06, 0.285383, 12
3.6, 2.35872e+06, 0.258589, 12
3.7, 2.39616e+06, 0.256987, 13
3.8, 2.35872e+06, 0.255187, 14
3.9, 2.39616e+06, 0.253465, 14
4, 2.35872e+06, 0.243004, 15
4.1, 2.39616e+06, 0.230601, 14
4.2, 2.35872e+06, 0.221378, 16
4.3, 2.39616e+06, 0.211763, 16
4.4, 2.35872e+06, 0.202053, 16
4.5, 2.39616e+06, 0.192284, 18
4.6, 2.35872e+06, 0.181253, 9
4.7, 2.35872e+06, 0.169933, 0
4.8, 1.39264e+06, 0.125367, 0
4.9, 972160, 0.0758464, 0
5, 2.376e+06, 0.0767602, 0
5.1, 2.17664e+06, 0.108559, 5
5.2, 2.1088e+06, 0.178873, 17
5.3, 2.14016e+06, 0.244139, 17
5.4, 2.32896e+06, 0.245877, 17
5.5, 2.39616e+06, 0.261147, 18
5.6, 2.35872e+06, 0.259702, 18
5.7, 2.39616e+06, 0.24878, 19
5.8, 2.35872e+06, 0.195675, 19
5.9, 2.39616e+06, 0.165086, 21
6, 2.35872e+06, 0.164067, 11
6.1, 2.39616e+06, 0.156258, 2
6.2, 2.35872e+06, 0.135561, 0
6.3, 2.35872e+06, 0.134698, 0
6.4, 2.39616e+06, 0.134563, 0
6.5, 2.35872e+06, 0.130295, 0
6.6, 2.39616e+06, 0.116649, 0
6.7, 2.35872e+06, 0.106092, 0
6.8, 2.39616e+06, 0.104619, 0
6.9, 2.35872e+06, 0.104016, 0
7, 1.3552e+06, 0.0857844, 0
7.1, 658560, 0.0679664, 0
7.2, 1.06848e+06, 0.0647965, 0
7.3, 2.14208e+06, 0.113874, 1
7.4, 2.10464e+06, 0.17853, 1
7.5, 2.14016e+06, 0.241447, 2
7.6, 2.2672e+06, 0.20129, 2
7.7, 2.33184e+06, 0.190298, 2
7.8, 2.39616e+06, 0.191157, 1
7.9, 2.35872e+06, 0.159249, 3
8, 2.39616e+06, 0.134379, 2
8.1, 2.35872e+06, 0.134285, 0
8.2, 2.39616e+06, 0.133541, 2
8.3, 2.35872e+06, 0.133735, 0
8.4, 2.39616e+06, 0.128333, 0
8.5, 2.33248e+06, 0.0953334, 0
8.6, 2.34816e+06, 0.0960531, 0
8.7, 2.14688e+06, 0.107845, 0
8.8, 2.1088e+06, 0.112806, 0
8.9, 2.136e+06, 0.116702, 0
9, 2.1088e+06, 0.117081, 0
9.1, 2.14016e+06, 0.118506, 0
9.2, 2.10464e+06, 0.120223, 0
9.3, 2.14016e+06, 0.121297, 0
9.4, 2.1088e+06, 0.122456, 0
9.5, 2.14016e+06, 0.124022, 0
9.6, 2.10464e+06, 0.125621, 0
9.7, 2.14016e+06, 0.126517, 0
9.8, 2.1088e+06, 0.127101, 0
9.9, 2.1088e+06, 0.128345, 0
