Time (s), Throughput (bps), Average RTT (s), Packet Loss (packets)
0.1, 4480, 0.0503248, 0
0.2, 322240, 0.0578369, 0
0.3, 648000, 0.0612816, 0
0.4, 888320, 0.0624682, 0
0.5, 1.03872e+06, 0.0617519, 0
0.6, 1.40864e+06, 0.0624115, 0
0.7, 1.80992e+06, 0.0627228, 0
0.8, 2.11936e+06, 0.0639061, 0
0.9, 2.1088e+06, 0.0680757, 0
1, 2.14016e+06, 0.0793685, 0
1.1, 2.10464e+06, 0.0911839, 0
1.2, 2.14016e+06, 0.100382, 0
1.3, 2.1088e+06, 0.110412, 0
1.4, 2.14016e+06, 0.12087, 0
1.5, 2.10464e+06, 0.131389, 0
1.6, 2.1088e+06, 0.141003, 0
1.7, 2.14016e+06, 0.152521, 1
1.8, 2.10464e+06, 0.163915, 2
1.9, 2.18848e+06, 0.162319, 2
2, 2.28832e+06, 0.14896, 1
2.1, 2.38592e+06, 0.155421, 0
2.2, 2.35872e+06, 0.117669, 0
2.3, 2.36288e+06, 0.0770704, 0
2.4, 2.1584e+06, 0.0838194, 0
2.5, 2.14016e+06, 0.0869095, 0
2.6, 2.1088e+06, 0.0865232, 0
2.7, 2.1088e+06, 0.0865398, 0
2.8, 2.136e+06, 0.0871066, 0
2.9, 2.1088e+06, 0.0865232, 0
3, 2.14016e+06, 0.0867232, 0
3.1, 2.10464e+06, 0.0869253, 0
3.2, 2.14016e+06, 0.0867232, 0
3.3, 2.1088e+06, 0.0865232, 0
3.4, 2.14016e+06, 0.0867232, 0
3.5, 2.10464e+06, 0.0869253, 0
3.6, 2.14016e+06, 0.0867232, 0
3.7, 2.1088e+06, 0.0865232, 0
3.8, 2.1088e+06, 0.0865398, 0
3.9, 2.136e+06, 0.0871066, 0
4, 2.1088e+06, 0.0865232, 0
4.1, 2.14016e+06, 0.0867232, 0
4.2, 2.10464e+06, 0.0869253, 0
4.3, 2.14016e+06, 0.0867232, 0
4.4, 2.1088e+06, 0.0865232, 0
4.5, 2.14016e+06, 0.0867232, 0
4.6, 2.10464e+06, 0.0869253, 0
4.7, 2.1088e+06, 0.0865232, 0
4.8, 2.14016e+06, 0.0867232, 0
4.9, 2.10464e+06, 0.0869253, 0
5, 2.14016e+06, 0.0867232, 0
5.1, 2.1088e+06, 0.0865232, 0
5.2, 2.14016e+06, 0.0867232, 0
5.3, 2.10464e+06, 0.0869253, 0
5.4, 2.14016e+06, 0.0867232, 0
5.5, 2.1088e+06, 0.0865232, 0
5.6, 2.14016e+06, 0.0867232, 0
5.7, 2.10464e+06, 0.0869253, 0
5.8, 2.1088e+06, 0.0865232, 0
5.9, 2.14016e+06, 0.0867232, 0
6, 2.10464e+06, 0.0869253, 0
6.1, 2.14016e+06, 0.0867232, 0
6.2, 2.1088e+06, 0.0865232, 0
6.3, 2.14016e+06, 0.0867232, 0
6.4, 2.10464e+06, 0.0869253, 0
6.5, 2.14016e+06, 0.0867232, 0
6.6, 2.1088e+06, 0.0865232, 0
6.7, 2.14016e+06, 0.0867232, 0
6.8, 2.10464e+06, 0.0869253, 0
6.9, 2.1088e+06, 0.0865232, 0
7, 2.14016e+06, 0.0867232, 0
7.1, 2.10464e+06, 0.0869253, 0
7.2, 2.14016e+06, 0.0867232, 0
7.3, 2.1088e+06, 0.0865232, 0
7.4, 2.14016e+06, 0.0867232, 0
7.5, 2.10464e+06, 0.0869253, 0
7.6, 2.14016e+06, 0.0867232, 0
7.7, 2.1088e+06, 0.0865232, 0
7.8, 2.14016e+06, 0.0867232, 0
7.9, 2.10464e+06, 0.0869253, 0
8, 2.1088e+06, 0.0865232, 0
8.1, 2.14016e+06, 0.0867232, 0
8.2, 2.10464e+06, 0.0869253, 0
8.3, 2.14016e+06, 0.0867232, 0
8.4, 2.1088e+06, 0.0865232, 0
8.5, 2.14016e+06, 0.0867232, 0
8.6, 2.10464e+06, 0.0869253, 0
8.7, 2.14016e+06, 0.0867232, 0
8.8, 2.1088e+06, 0.0865232, 0
8.9, 2.1088e+06, 0.0865398, 0
9, 2.136e+06, 0.0871066, 0
9.1, 2.1088e+06, 0.0865232, 0
9.2, 2.14016e+06, 0.0867232, 0
9.3, 2.10464e+06, 0.0869253, 0
9.4, 2.14016e+06, 0.0867232, 0
9.5, 2.1088e+06, 0.0865232, 0
9.6, 2.14016e+06, 0.0867232, 0
9.7, 2.10464e+06, 0.0869253, 0
9.8, 2.14016e+06, 0.0867232, 0
9.9, 2.1088e+06, 0.0865232, 0
