Adım	RTT (μs)	Throughput (bits)
1	0	0
2	102806	27200
3	115900	68000
4	122284	108800
5	123610	149600
6	123345	190400
7	121101	190400
8	122257	217600
9	134118	217600
10	149454	210800
11	165116	217600
12	181659	217600
13	198693	217600
14	214267	210800
15	229290	217600
16	244102	217600
17	258489	217600
18	273434	149600
19	273966	0
20	273966	0
21	273966	0
22	273966	0
23	229212	476000
24	158867	217600
25	157613	217600
26	157606	217600
27	157581	210800
28	157606	217600
29	157610	217600
30	157601	210800
31	157576	217600
32	157607	217600
33	157613	217600
34	157608	210800
35	157572	217600
36	157603	217600
37	157609	217600
38	157612	210800
39	157577	217600
40	157605	217600
41	157604	210800
42	157606	217600
43	157581	217600
44	157606	217600
45	157610	210800
46	157603	217600
47	157584	217600
48	157603	217600
49	157606	210800
50	157601	217600
51	157593	217600
52	157600	210800
53	157604	217600
54	157592	217600
55	157597	217600
56	157611	210800
57	157606	217600
58	157585	217600
59	157596	210800
60	157607	217600
61	157610	217600
62	157587	217600
63	157596	210800
64	157604	217600
65	157606	217600
66	157584	217600
67	157607	210800
68	157605	217600
69	157603	217600
70	157579	210800
71	157604	217600
72	157610	217600
73	157608	217600
74	157576	210800
75	157601	217600
76	157613	217600
77	157605	217600
78	157580	210800
79	157603	217600
80	157616	217600
81	157599	210800
82	157576	217600
83	157604	217600
84	157618	217600
85	157606	210800
86	157573	217600
87	157602	217600
88	157612	217600
89	157611	210800
90	157578	217600
91	157604	217600
92	157606	210800
93	157606	217600
94	157577	217600
95	157609	217600
96	157612	210800
97	157603	217600
98	157574	217600
